<UNK> 1.0	sil
ಅಂತರರಾಷ್ಟ್ರೀಯ 1.0	a q t r r aa sx eu tx eu r ii y 
ನಿಯತಕಾಲಿಕಗಳು 1.0	n i y t k aa l i k g lx u 
ಸಿಗುತ್ತವೆ 1.0	s i g u t eu t w e 
ಅಂತರಜಾಲ 1.0	a q t r j aa l 
ಸೌಲಭ್ಯ 1.0	s au l bh eu y 
ಇಲ್ಲದವರಿಗೆ 1.0	i l eu l d w r i g e 
ಧನಾದೇಶ 1.0	dh n aa d ee sh 
ಸ್ವೀಕೃತಿ 1.0	s eu w ii k rq t i 
ಗ್ರಾಮದಲ್ಲಿ 1.0	g eu r aa m d l eu l i 
ಫಲವತ್ತಾದ 1.0	txh w t eu t aa d 
ಭೂಮಿ 1.0	bh uu m i 
ಇರುವುದರಿಂದ 1.0	i r u w u d r i q d 
ಎಪ್ಪತ್ತು 1.0	e p eu p t eu t u 
ಪ್ರತಿಶತ 1.0	p eu r t i sh t 
ಜನಸಂಖ್ಯೆ 1.0	j n s q kh eu y e 
ಕೃಷಿಯಲ್ಲಿ 1.0	k rq sx i y l eu l i 
ನಿರತರಾಗಿದ್ದಾರೆ 1.0	n i r t r aa g i d eu d aa r e 
ಇದು 1.0	i d u 
ಪೋರ್ಚುಗೀಸರ 1.0	p ii eu c u g ii s r 
ಸ್ವಾಧೀನದಲ್ಲಿತ್ತು 1.0	s eu w aa dh ii n d l eu l i t eu t u 
ರಂದ್ರಯುಕ್ತಿಗಳ 1.0	r q d eu r y u k eu t i g lx 
ಕ್ರಿಯಾತ್ಮಕ 1.0	k eu r i y aa t eu m k 
ಗುಂಪು 1.0	g u q p u 
ನಿರ್ದಿಷ್ಟ 1.0	n i r eu d i sx eu tx 
ಅಂಗಾಂಶಗಳಿಗೆ 1.0	a q g aa q sh g lx i g e 
ಚಿಕ್ಕ 1.0	c i k eu k 
ಅಣುಗಳ 1.0	a nx u g lx 
ಸಾಗಾಣಿಕೆಯಲ್ಲಿ 1.0	s aa g aa nx i k e y l eu l i 
ಉಪಯೋಗವಾಗಬಹುದು 1.0	u p y ii w aa g b h u d u 
ಶಸ್ತ್ರವೈದ್ಯವನ್ನು 1.0	sh s eu t eu r w ai d eu y w n eu n u 
ಮಾಡುತ್ತಿದ್ದವರು 1.0	m aa dx u t eu t i d eu d w r u 
ಕೀಳು 1.0	k ii lx u 
ಜಾತಿಯವರಾದರು 1.0	j aa t i y w r aa d r u 
ವಲಯದ 1.0	w l y d 
ಮೂಲಕವೇ 1.0	m uu l k w ee 
ನೆಲದ 1.0	n e l d 
ಮೇಲೆ 1.0	m ee l e 
ಬಿದ್ದ 1.0	b i d eu d 
ನೀರು 1.0	n ii r u 
ನಿಧಾನ 1.0	n i dh aa n 
ಗತಿಯಲ್ಲಿ 1.0	g t i y l eu l i 
ಜಿನುಗಿ 1.0	j i n u g i 
ಅಂತರ್ಜಲ 1.0	a q t r eu j l 
ಭಂಡಾರವಾಗುತ್ತದೆ 1.0	bh q dx aa r w aa g u t eu t d e 
ಸಸ್ಯದಲ್ಲಿ 1.0	s s eu y d l eu l i 
ತಗ್ಗಿದ 1.0	t g eu g i d 
ಉಷ್ಣತೆಯ 1.0	u sx eu nx t e y 
ಚಿಕಿತ್ಸೆ 1.0	c i k i t eu s e 
ಹೆಚ್ಚಾದಂತೆ 1.0	h e c eu c aa d q t e 
ಬಿತ್ತನೆ 1.0	b i t eu t n e 
ಮಾಡುವುದಕ್ಕೂ 1.0	m aa dx u w u d k eu k uu 
ಮತ್ತು 1.0	m t eu t u 
ಕೊಯಿಲು 1.0	k o y i l u 
ಮಧ್ಯೆ 1.0	m dh eu y e 
ಇರುವ 1.0	i r u w 
ಕಾಲವು 1.0	k aa l w u 
ಕಡಿಮೆಯಾಗುತ್ತದೆ 1.0	k dx i m e y aa g u t eu t d e 
ಅಲ್ಲದೇ 1.0	a l eu l d ee 
ಭವಿಷ್ಯದ 1.0	bh w i sx eu y d 
ಬಹು 1.0	b h u 
ವೈಜ್ಞಾನಿಕ 1.0	w ai j eu nj aa n i k 
ಕಾರ್ಯಾಚರಣೆಗೆ 1.0	k aa r eu y aa c r nx e g e 
ಪಠ್ಯ 1.0	p txh eu y 
ವಿಷಯಗಳನ್ನು 1.0	w i sx y g lx n eu n u 
ಒದಗಿಸುತ್ತದೆ 1.0	o d g i s u t eu t d e 
ಹಸುಗೂಸಿನಲ್ಲಿ 1.0	h s u g uu s i n l eu l i 
ಕಾಣಬರುವ 1.0	k aa nx b r u w 
ರಕ್ತಕೊರೆಗೆ 1.0	r k eu t k o r e g e 
ಬಹುಮಟ್ಟಿನ 1.0	b h u m tx eu tx i n 
ಕಾರಣ 1.0	k aa r nx 
ರೋಧಜನಕವೇ 1.0	r ii j n k w ee 
ನಿದರ್ಶನದಲ್ಲಿ 1.0	n i d r eu sh n d l eu l i 
ಮಾಡಬಹುದಾಗಿದೆ 1.0	m aa dx b h u d aa g i d e 
ಅಭಿವೃದ್ಧಿ 1.0	a bh i w rq d eu dh i 
ಸಂಸ್ಥೆ 1.0	s q s eu th e 
ಇಂದ್ರನಂತೆ 1.0	i q d eu r n q t e 
ನೂರಾರು 1.0	n uu r aa r u 
ಕುದುರೆಗಳು 1.0	k u d u r e g lx u 
ಹೂಡಿದ 1.0	h uu dx i d 
ರಥದಲ್ಲಿ 1.0	r th d l eu l i 
ಸಂಚರಿಸುವವನು 1.0	s q c r i s u w w n u 
ಸರ್ಕಾರಿ 1.0	s r eu k aa r i 
ಕ್ಷೇತ್ರಕ್ಕೆ 1.0	k eu sx ee t eu r k eu k e 
ಸೇರಿದ 1.0	s ee r i d 
ಉದ್ಯಮಗಳಿಗೆ 1.0	u d eu y m g lx i g e 
ವಿಶೇಷವಾಗಿ 1.0	w i sh ee sx w aa g i 
ಪ್ರಭಾವಕ್ಕೆ 1.0	p eu r bh aa w k eu k e 
ಒಳಪಟ್ಟಿರುವ 1.0	o lx p tx eu tx i r u w 
ಸಂಸ್ಥೆಗಳಿಗೆ 1.0	s q s eu th e g lx i g e 
ನೆರವು 1.0	n e r w u 
ಸಿಗುವುದಿಲ್ಲ 1.0	s i g u w u d i l eu l 
ಅಲ್ಲದೆ 1.0	a l eu l d e 
ಇದರ 1.0	i d r 
ಕಾಯಿಗಳಿಗಾಗಿ 1.0	k aa y i g lx i g aa g i 
ಗ್ರಾಮಾಂತರ 1.0	g eu r aa m aa q t r 
ಪ್ರದೇಶಗಳಲ್ಲಿ 1.0	p eu r d ee sh g lx l eu l i 
ತನ್ನ 1.0	t n eu n 
ಬಂಡವಾಳ 1.0	b q dx w aa lx 
ವಿನಿಯೋಗದ 1.0	w i n i y ii d 
ಜೊತೆಗೆ 1.0	j o t e g e 
ದೇಶದ 1.0	d ee sh d 
ಆರ್ಥಿಕ 1.0	aa r eu th i k 
ಬೆಳೆವಣಿಗೆಗೆ 1.0	b e lx e w nx i g e g e 
ಅಗತ್ಯವಾದ 1.0	a g t eu y w aa d 
ಎಲ್ಲ 1.0	e l eu l 
ಅಂಶಗಳನ್ನೂ 1.0	a q sh g lx n eu n uu 
ಏರ್ಪಾಟುಗಳನ್ನೂ 1.0	ee r eu p aa tx u g lx n eu n uu 
ವಿಮರ್ಶೆಮಾಡುವ 1.0	w i m r eu sh e m aa dx u w 
ಹೊಣೆಗಾರಿಕೆಯನ್ನು 1.0	h o nx e g aa r i k e y n eu n u 
ಹೊತ್ತಿದೆ 1.0	h o t eu t i d e 
ಅಂದರೆ 1.0	a q d r e 
ಇಪ್ಪತ್ತಕ್ಕೆ 1.0	i p eu p t eu t k eu k e 
ಹತ್ತರ 1.0	h t eu t r 
ಎರಡು 1.0	e r dx u 
ಚಿಹ್ನೆ 1.0	c i h eu n e 
ಇದರಲ್ಲಿ 1.0	i d r l eu l i 
ಕೊನೆಯ 1.0	k o n e y 
ವ್ಯತ್ಯಾಸವಾಗಬಲ್ಲ 1.0	w eu y t eu y aa s w aa g b l eu l 
ಅಂಕಿಗಳ 1.0	a q k i g lx 
ಸಂಖ್ಯೆ 1.0	s q kh eu y e 
ಹೊಂದಿರುತ್ತದೆ 1.0	h o q d i r u t eu t d e 
ಚಿಕಿತ್ಸೆಯನ್ನು 1.0	c i k i t eu s e y n eu n u 
ಬೇರೆ 1.0	b ee r e 
ಸಸ್ಯಗಳಲ್ಲಿ 1.0	s s eu y g lx l eu l i 
ಹಂತಗಳಲ್ಲಿ 1.0	h q t g lx l eu l i 
ಕೊಡಬೇಕಾಗುವುದು 1.0	k o dx b ee k aa g u w u d u 
ರಾಜ್ಯ 1.0	r aa j eu y 
ವಿಶ್ವದಷ್ಟು 1.0	w i sh eu w d sx eu tx u 
ವಿಸ್ತಾರ 1.0	w i s eu t aa r 
ಭದ್ರ 1.0	bh d eu r 
ಡ್ಯಾಂ 1.0	dx eu y aa q 
ಎಂಬುದು 1.0	e q b u d u 
ಪ್ರವಾಸೀ 1.0	p eu r w aa s ii 
ಕೇಂದ್ರವಾಗಿದೆ 1.0	k ee q d eu r w aa g i d e 
ಆ 1.0	aa 
ಎತ್ತರದ 1.0	e t eu t r d 
ಕೆಳಗೆ 1.0	k e lx g e 
ಪರಕೀಯ 1.0	p r k ii y 
ವಿಮಾನಗಳು 1.0	w i m aa n g lx u 
ಒಪ್ಪಿಗೆಯಿಲ್ಲದೆ 1.0	o p eu p i g e y i l eu l d e 
ಹಾರಾಡುವುದು 1.0	h aa r aa dx u w u d u 
ನಿಷೇಧ 1.0	n i sx ee dh 
ಏಕೆಂದರೆ 1.0	ee k e q d r e 
ಅವರು 1.0	a w r u 
ಉಸಿರಿನ 1.0	u s i r i n 
ಮೂಲಕ 1.0	m uu l k 
ಹೊರಹಾಕಿದ 1.0	h o r h aa k i d 
ಇಂಗಾಲದ 1.0	i q g aa l d 
ಡೈ 1.0	dx ai 
ಆಕ್ಸೈಡ್ 1.0	aa k eu s ai dx eu 
ನ 1.0	n 
ಗುಳ್ಳೆಗಳು 1.0	g u lx eu lx e g lx u 
ಅವರ 1.0	a w r 
ತಲೆಯ 1.0	t l e y 
ಸುತ್ತಲೇ 1.0	s u t eu t l ee 
ಉಳಿದುಕೊಳ್ಳುತ್ತವೆ 1.0	u lx i d u k o lx eu lx u t eu t w e 
ದಿನ 1.0	d i n 
ಪ್ರಾರಂಭಕ್ಕೆ 1.0	p eu r aa r q bh k eu k e 
ವಿಶ್ವ 1.0	w i sh eu w 
ನಾಯಕರಿಂದ 1.0	n aa y k r i q d 
ಸಹಕಾರ 1.0	s h k aa r 
ದೊರೆತಿದೆ 1.0	d o r e t i d e 
ಪ್ರಕೃತಿಯ 1.0	p eu r k rq t i y 
ರೌದ್ರ 1.0	r au d eu r 
ಸ್ವರೂಪವನ್ನು 1.0	s eu w r uu p w n eu n u 
ಇವನು 1.0	i w n u 
ಪ್ರತಿನಿಧಿಸುತ್ತಾನೆ 1.0	p eu r t i n i dh i s u t eu t aa n e 
ವಿದ್ಯುನ್ಮಂಡಲದಲ್ಲಿ 1.0	w i d eu y u n eu m q dx l d l eu l i 
ವಿದ್ಯುತ್ತಿನಿಂದ 1.0	w i d eu y u t eu t i n i q d 
ವಿದ್ಯುತ್ 1.0	w i d eu y u t eu 
ಪೂರಣವಾದ 1.0	p uu r nx w aa d 
ಅಣುವಿನ 1.0	a nx u w i n 
ಸ್ಥಾಯೀ 1.0	s eu th aa y ii 
ವಿದ್ಯುತ್ತಿನ 1.0	w i d eu y u t eu t i n 
ಅಂತಸ್ಥ 1.0	a q t s eu th 
ಶಕ್ತಿಯಾಗಿದೆ 1.0	sh k eu t i y aa g i d e 
ಸರಣಿಯನ್ನು 1.0	s r nx i y n eu n u 
ಸಾಗಿಸುವ 1.0	s aa g i s u w 
ಮೋಟಾರ್ 1.0	m ii aa r eu 
ನಲ್ಲಿ 1.0	n l eu l i 
ವಿಪರೀತ 1.0	w i p r ii t 
ಕಂಪನ 1.0	k q p n 
ಹೈ 1.0	h ai 
ಕರೆಂಟ್ 1.0	k r e q tx eu 
ಸ್ಪೈಕ್ 1.0	s eu p ai k eu 
ಗಳು 1.0	g lx u 
ಕಾಣಿಸಿಕೊಂಡವು 1.0	k aa nx i s i k o q dx w u 
ಒಂದನೆಯ 1.0	o q d n e y 
ಮಹಾಯುದ್ಧಕ್ಕೂ 1.0	m h aa y u d eu dh k eu k uu 
ಇದೇ 1.0	i d ee 
ಮೂಲವೆನ್ನುವವರೂ 1.0	m uu l w e n eu n u w w r uu 
ಇದ್ದಾರೆ 1.0	i d eu d aa r e 
ಗುರುತ್ವಾಕರ್ಷಣಾ 1.0	g u r u t eu w aa k r eu sx nx aa 
ಮಾದರಿಯು 1.0	m aa d r i y u 
ಮೂಲಭೂತವಾಗಿ 1.0	m uu l bh uu t w aa g i 
ಆಮದಿಗೆ 1.0	aa m d i g e 
ಗಮನ 1.0	g m n 
ಕೊಡುತ್ತದೆ 1.0	k o dx u t eu t d e 
ಉದಾಹರಣೆಗೆ 1.0	u d aa h r nx e g e 
ತಂಡಗಳು 1.0	t q dx g lx u 
ಪರಸ್ಪರ 1.0	p r s eu p r 
ಎದುರುಬದುರಾಗಿ 1.0	e d u r u b d u r aa g i 
ಸಂಧಿಸಿ 1.0	s q dh i s i 
ಮುಂದೆ 1.0	m u q d e 
ಹೋಗಬಾರದು 1.0	h ii b aa r d u 
ವ್ಯವಹಾರ 1.0	w eu y w h aa r 
ಶಿಕ್ಷಣ 1.0	sh i k eu sx nx 
ವಂತರಿಗೆ 1.0	w q t r i g e 
ಮಾತ್ರ 1.0	m aa t eu r 
ಸಾಧ್ಯ 1.0	s aa dh eu y 
ಅವಿಧ್ಯಾವಂತರಿಗೆ 1.0	a w i dh eu y aa w q t r i g e 
ಸೂಕ್ತವಲ್ಲ 1.0	s uu k eu t w l eu l 
ಹಗಲಿನ 1.0	h g l i n 
ಶಸ್ತ್ರಚಿಕಿತ್ಸಾ 1.0	sh s eu t eu r c i k i t eu s aa 
ಕೇಂದ್ರಗಳ 1.0	k ee q d eu r g lx 
ರೋಗಿಗಳ 1.0	r ii i g lx 
ನಿಗಾವಣೆ 1.0	n i g aa w nx e 
ನಡೆಯುತ್ತಿದ್ದು 1.0	n dx e y u t eu t i d eu d u 
ಪ್ರಪಂಚದಲ್ಲಿ 1.0	p eu r p q c d l eu l i 
ಪದೇ 1.0	p d ee 
ಸಂಭವಿಸುವ 1.0	s q bh w i s u w 
ಬಿಕ್ಕಟ್ಟುಗಳಿಗೂ 1.0	b i k eu k tx eu tx u g lx i g uu 
ಯುದ್ಧಗಳಿಗೂ 1.0	y u d eu dh g lx i g uu 
ರಾಷ್ಟ್ರಗಳ 1.0	r aa sx eu tx eu r g lx 
ನಡುವೆ 1.0	n dx u w e 
ಇಲ್ಲದಿರುವುದೇ 1.0	i l eu l d i r u w u d ee 
ಸರ್ಪವೇದ 1.0	s r eu p w ee d 
ಆದ್ದರಿಂದಲೇ 1.0	aa d eu d r i q d l ee 
ಶರೀರಕ್ರಿಯಾವಿಜ್ಞಾನವನ್ನು 1.0	sh r ii r k eu r i y aa w i j eu nj aa n w n eu n u 
ನೋಡಬೇಕು 1.0	n ii b ee k u 
ಅಂತರಿಕ್ಷದೇವತೆಗಳಲ್ಲೆಲ್ಲ 1.0	a q t r i k eu sx d ee w t e g lx l eu l e l eu l 
ಓಜಸ್ಸುಳ್ಳವನೂ 1.0	oo j s eu s u lx eu lx w n uu 
ಬಲಿಷ್ಠನೂ 1.0	b l i sx eu txh n uu 
ಆದವನು 1.0	aa d w n u 
ಇಂದ್ರ 1.0	i q d eu r 
ಗಗನಯಾತ್ರೆಯ 1.0	g g n y aa t eu r e y 
ಕಮಾಂಡರ್ 1.0	k m aa q dx r eu 
ಮತ್ತೊಂದು 1.0	m t eu t o q d u 
ಗೆ 1.0	g e 
ನಿಲ್ದಾಣವನ್ನು 1.0	n i l eu d aa nx w n eu n u 
ಅಧಿಕೃತವಾಗಿ 1.0	a dh i k rq t w aa g i 
ಒಪ್ಪಿಸಿದ 1.0	o p eu p i s i d 
ಗಗನಯಾತ್ರೆಯನ್ನು 1.0	g g n y aa t eu r e y n eu n u 
ಪ್ರಾರಂಭಿಸಲಾಗುತ್ತದೆ 1.0	p eu r aa r q bh i s l aa g u t eu t d e 
ಅಂತರಾಷ್ಟ್ರೀಯ 1.0	a q t r aa sx eu tx eu r ii y 
ವ್ಯವಹಾರವು 1.0	w eu y w h aa r w u 
ವ್ಯಾಪಾರಕ್ಕಿಂತ 1.0	w eu y aa p aa r k eu k i q t 
ವಿಶಾಲವಾಗಿದೆ 1.0	w i sh aa l w aa g i d e 
ಅಂತರ್ಜಾಲದ 1.0	a q t r eu j aa l d 
ಬಳಕೆ 1.0	b lx k e 
ಹೊಸ 1.0	h o s 
ತಂತ್ರಜ್ಞಾನಗಳು 1.0	t q t eu r j eu nj aa n g lx u 
ಕಾಲಾನುಕ್ರಮದಲ್ಲಿ 1.0	k aa l aa n u k eu r m d l eu l i 
ವಿಕಸಿತವಾಗುತ್ತ 1.0	w i k s i t w aa g u t eu t 
ಹೋದಂತೆ 1.0	h ii q t e 
ವಿಧಾನಗಳೂ 1.0	w i dh aa n g lx uu 
ಕೂಡ 1.0	k uu dx 
ಬದಲಾಗುತ್ತಿವೆ 1.0	b d l aa g u t eu t i w e 
ಭಾರತದ 1.0	bh aa r t d 
ಮಾಜಿ 1.0	m aa j i 
ವೇಗದ 1.0	w ee g d 
ಬೌಲರ್ 1.0	b au l r eu 
ಪಂಜಾಬಿ 1.0	p q j aa b i 
ನಟ 1.0	n tx 
ಯೋಗರಾಜ್ 1.0	y ii r aa j eu 
ಸಿಂಗ್‌ರ 1.0	s i q g eu r 
ಮಗನಾದ 1.0	m g n aa d 
ಆಂತರಿಕ 1.0	aa q t r i k 
ದಹನಕಾರಿ 1.0	d h n k aa r i 
ಇಂಜಿನ್ 1.0	i q j i n eu 
ಎಂದರೆ 1.0	e q d r e 
ಸಾಮಾನ್ಯವಾಗಿ 1.0	s aa m aa n eu y w aa g i 
ದಹನ 1.0	d h n 
ಅಂತರಿಕವಾಗಿರುವ 1.0	a q t r i k w aa g i r u w 
ಸ್ಥಾಪಕ 1.0	s eu th aa p k 
ವಿಲ್ಹೆಮ್ 1.0	w i l eu h e m eu 
ವುಂಟ್ 1.0	w u q tx eu 
ಜಗತ್ಕಾರಣವಾದ 1.0	j g t eu k aa r nx w aa d 
ಪರತತ್ತ್ವವೇ 1.0	p r t t eu t eu w w ee 
ಹೀಗೆ 1.0	h ii g e 
ರೂಪಗಳಲ್ಲಿ 1.0	r uu p g lx l eu l i 
ನಮ್ಮನ್ನು 1.0	n m eu m n eu n u 
ಕೈಹಿಡಿದು 1.0	k ai h i dx i d u 
ನಡೆಸುತ್ತದೆ 1.0	n dx e s u t eu t d e 
ಎಂದು 1.0	e q d u 
ವರ್ಣಿಸಿದ್ದಾರೆ 1.0	w r eu nx i s i d eu d aa r e 
ಅಮೃತಮಂಥನದಲ್ಲಿ 1.0	a m rq t m q th n d l eu l i 
ಧನ್ವಂತರಿ 1.0	dh n eu w q t r i 
ಹುಟ್ಟಿ 1.0	h u tx eu tx i 
ಲೋಕಕ್ಕೆ 1.0	l ii k eu k e 
ಅಮೃತವನ್ನು 1.0	a m rq t w n eu n u 
ತಂದನೆಂದು 1.0	t q d n e q d u 
ಮಹಾಭಾರತದಲ್ಲಿ 1.0	m h aa bh aa r t d l eu l i 
ಹೇಳಿದೆ 1.0	h ee lx i d e 
ಆದರೆ 1.0	aa d r e 
ಕಡ್ಡಾಯ 1.0	k dx eu dx aa y 
ಎಂಬ 1.0	e q b 
ನಿಯಮವು 1.0	n i y m w u 
ಮೂವತ್ತಾರು 1.0	m uu w t eu t aa r u 
ಅಧಿನಿಯಮವನ್ನು 1.0	a dh i n i y m w n eu n u 
ಒಂದೊಂದು 1.0	o q d o q d u 
ಬಾರಿ 1.0	b aa r i 
ಕಾರ್ಯಕ್ಷೇತ್ರದ 1.0	k aa r eu y k eu sx ee t eu r d 
ವ್ಯಾಪ್ತಿ 1.0	w eu y aa p eu t i 
ಬಗ್ಗೆ 1.0	b g eu g e 
ತಪ್ಪಾಗಿ 1.0	t p eu p aa g i 
ಅರ್ಥೈಸಲಾಗುತ್ತದೆ 1.0	a r eu th ai s l aa g u t eu t d e 
ಪ್ರಯೋಗಶೀಲತೆ 1.0	p eu r y ii sh ii l t e 
ಮಣ್ಣು 1.0	m nx eu nx u 
ಸಂಪುಟದ 1.0	s q p u tx d 
ನಡುವಿನ 1.0	n dx u w i n 
ಜಾಗವನ್ನು 1.0	j aa g w n eu n u 
ಒತ್ತಡಕ್ಕೊಳಪಡಿಸಿರುತ್ತಾರೆ 1.0	o t eu t dx k eu k o lx p dx i s i r u t eu t aa r e 
ಜ್ವೆಜ್ದ 1.0	j eu w e j eu d 
ಹೊರಾಂಗಣದ 1.0	h o r aa q g nx d 
ಮೇಲಿರುವ 1.0	m ee l i r u w 
ಆಂಟೆನಗಳ 1.0	aa q tx e n g lx 
ಭೂ 1.0	bh uu 
ನಿಯಂತ್ರಣಾ 1.0	n i y q t eu r nx aa 
ಕಕ್ಷಾ 1.0	k k eu sx aa 
ಸಂಪರ್ಕ 1.0	s q p r eu k 
ಕೇಂದ್ರಗಳಿಗೆ 1.0	k ee q d eu r g lx i g e 
ಕಳಿಸಲಾಗುತ್ತಿದೆ 1.0	k lx i s l aa g u t eu t i d e 
ಪೂರ್ವ 1.0	p uu r eu w 
ಪಶ್ಚಿಮ 1.0	p sh eu c i m 
ಭಾಗಗಳ 1.0	bh aa g g lx 
ಪ್ರಸ್ಥಭೂಮಿ 1.0	p eu r s eu th bh uu m i 
ಮೂಲವಾಗಿಟ್ಟುಕೊಂಡು 1.0	m uu l w aa g i tx eu tx u k o q dx u 
ಜಟಿಲವಾದ 1.0	j tx i l w aa d 
ಸಮಸ್ಯೆಗಳನ್ನು 1.0	s m s eu y e g lx n eu n u 
ಬಗೆಹರಿಸಬಹುದು 1.0	b g e h r i s b h u d u 
ವೈಜ್ಞಾನಿಕವಾಗಿ 1.0	w ai j eu nj aa n i k w aa g i 
